aari5136,tp,fn,fp,tn,precision,recall,f1,accuracy,marginalFalse,marginalTrue,expectedAgreement,cohensKappa
Education,11,2,1,136,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.98,0.8402666666666667,0.006933333333333333,0.8472000000000001,0.8691099476439789
Entertainment,31,6,1,112,0.96875,0.8378378378378378,0.8985507246376812,0.9533333333333334,0.5926222222222223,0.05262222222222222,0.6452444444444445,0.8684540215484842
Finance,2,1,0,147,1.0,0.6666666666666666,0.8,0.9933333333333333,0.9669333333333333,0.0002666666666666667,0.9672,0.7967479674796738
Health,1,0,0,149,1.0,1.0,1.0,1.0,0.9867111111111111,4.4444444444444447e-05,0.9867555555555555,1.0
Hospitality,0,2,0,148,1,1,1,1,1,0,1,1
Public administration,19,2,3,126,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9666666666666667,0.7338666666666667,0.020533333333333334,0.7544,0.8642779587404995
Real estate,1,0,0,149,1.0,1.0,1.0,1.0,0.9867111111111111,4.4444444444444447e-05,0.9867555555555555,1.0
Resources,0,1,0,149,1,1,1,1,1,0,1,1
SciTech,4,0,1,145,0.8,1.0,0.888888888888889,0.9933333333333333,0.9408888888888889,0.0008888888888888889,0.9417777777777778,0.885496183206106
Social,5,6,3,136,0.625,0.45454545454545453,0.5263157894736842,0.94,0.8772444444444445,0.003911111111111111,0.8811555555555556,0.49513836948391865
Sports,18,4,1,127,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.9666666666666667,0.7452444444444445,0.018577777777777776,0.7638222222222223,0.8588633797515995
Trade,11,0,4,135,0.7333333333333333,1.0,0.846153846153846,0.9733333333333334,0.834,0.007333333333333333,0.8413333333333333,0.8319327731092441
Transport,2,1,0,147,1.0,0.6666666666666666,0.8,0.9933333333333333,0.9669333333333333,0.0002666666666666667,0.9672,0.7967479674796738
Other,0,0,2,148,1,1,1,1,1,0,1,1
Error,19,1,10,120,0.6551724137931034,0.95,0.7755102040816326,0.9266666666666666,0.6991111111111111,0.025777777777777778,0.7248888888888889,0.7334410339256865
overview,124,26,26,2074,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.9768888888888889,0.8711111111111111,0.0044444444444444444,0.8755555555555555,0.8142857142857145
