cnin0770,tp,fn,fp,tn,precision,recall,f1,accuracy,marginalFalse,marginalTrue,expectedAgreement,cohensKappa
Education,13,0,0,137,100.00%,100.00%,100.00%,100.00%,83.42%,0.75%,84.17%,100.00%
Entertainment,37,0,3,110,92.50%,100.00%,96.10%,98.00%,55.24%,6.58%,61.82%,94.76%
Finance,2,1,0,147,100.00%,66.67%,80.00%,99.33%,96.69%,0.03%,96.72%,79.67%
Health,1,0,0,149,100.00%,100.00%,100.00%,100.00%,98.67%,0.00%,98.68%,100.00%
Hospitality,2,0,0,148,100.00%,100.00%,100.00%,100.00%,97.35%,0.02%,97.37%,100.00%
Public administration,20,1,1,128,95.24%,95.24%,95.24%,98.67%,73.96%,1.96%,75.92%,94.46%
Real estate,1,0,0,149,100.00%,100.00%,100.00%,100.00%,98.67%,0.00%,98.68%,100.00%
Resources,1,0,0,149,100.00%,100.00%,100.00%,100.00%,98.67%,0.00%,98.68%,100.00%
SciTech,4,0,0,146,100.00%,100.00%,100.00%,100.00%,94.74%,0.07%,94.81%,100.00%
Social,11,0,2,137,84.62%,100.00%,91.67%,98.67%,84.64%,0.64%,85.27%,90.95%
Sports,21,1,2,126,91.30%,95.45%,93.33%,98.00%,72.25%,2.25%,74.50%,92.16%
Trade,11,0,1,138,91.67%,100.00%,95.65%,99.33%,85.25%,0.59%,85.84%,95.29%
Transport,2,1,2,145,50.00%,66.67%,57.14%,98.00%,95.39%,0.05%,95.44%,56.14%
Other,0,0,0,150,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%
Error,12,8,1,129,92.31%,60.00%,72.73%,94.00%,79.16%,1.16%,80.31%,69.53%
overview,138,12,12,2088,92.00%,92.00%,92.00%,98.93%,87.11%,0.44%,87.56%,91.43%
