cnin0770,tp,fn,fp,tn,precision,recall,f1,accuracy,marginalFalse,marginalTrue,expectedAgreement,cohensKappa
Education,13,0,0,137,1.0,1.0,1.0,1.0,0.8341777777777778,0.007511111111111111,0.8416888888888889,1.0
Entertainment,37,0,3,110,0.925,1.0,0.961038961038961,0.98,0.5524444444444444,0.06577777777777778,0.6182222222222222,0.9476135040745052
Finance,2,1,0,147,1.0,0.6666666666666666,0.8,0.9933333333333333,0.9669333333333333,0.0002666666666666667,0.9672,0.7967479674796738
Health,1,0,0,149,1.0,1.0,1.0,1.0,0.9867111111111111,4.4444444444444447e-05,0.9867555555555555,1.0
Hospitality,2,0,0,148,1.0,1.0,1.0,1.0,0.9735111111111111,0.00017777777777777779,0.9736888888888889,1.0
Public administration,20,1,1,128,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9866666666666667,0.7396,0.0196,0.7592,0.9446290143964564
Real estate,1,0,0,149,1.0,1.0,1.0,1.0,0.9867111111111111,4.4444444444444447e-05,0.9867555555555555,1.0
Resources,1,0,0,149,1.0,1.0,1.0,1.0,0.9867111111111111,4.4444444444444447e-05,0.9867555555555555,1.0
SciTech,4,0,0,146,1.0,1.0,1.0,1.0,0.9473777777777778,0.0007111111111111111,0.9480888888888889,1.0
Social,11,0,2,137,0.8461538461538461,1.0,0.9166666666666666,0.9866666666666667,0.8463555555555555,0.006355555555555555,0.8527111111111111,0.9094749547374775
Sports,21,1,2,126,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.98,0.7224888888888888,0.022488888888888888,0.7449777777777777,0.9215754618333913
Trade,11,0,1,138,0.9166666666666666,1.0,0.9565217391304348,0.9933333333333333,0.8525333333333334,0.005866666666666667,0.8584,0.9529190207156306
Transport,2,1,2,145,0.5,0.6666666666666666,0.5714285714285715,0.98,0.9538666666666666,0.0005333333333333334,0.9544,0.5614035087719292
Other,0,0,0,150
Error,12,8,1,129,0.9230769230769231,0.6,0.7272727272727274,0.94,0.7915555555555556,0.011555555555555555,0.8031111111111111,0.695259593679458
