Unikey,TruePostive,FalseNegative,FalsePostive,TrueNegative,Precision,Recall,F1 Score,Accuracy,MarginalFalse,MarginalTrue,ExpectedAgreement,Cohen'sKappa
deli9382,144,6,6,2094,96.00%,96.00%,96.00%,99.47%,87.11%,0.44%,87.56%,95.71%
rnic7557,144,6,6,2094,96.00%,96.00%,96.00%,99.47%,87.11%,0.44%,87.56%,95.71%
cnin0770,138,12,12,2088,92.00%,92.00%,92.00%,98.93%,87.11%,0.44%,87.56%,91.43%
roco3989,138,12,12,2088,92.00%,92.00%,92.00%,98.93%,87.11%,0.44%,87.56%,91.43%
jwon5553,137,13,13,2087,91.33%,91.33%,91.33%,98.84%,87.11%,0.44%,87.56%,90.71%
klee6563,137,13,13,2087,91.33%,91.33%,91.33%,98.84%,87.11%,0.44%,87.56%,90.71%
mvau4494,136,14,14,2086,90.67%,90.67%,90.67%,98.76%,87.11%,0.44%,87.56%,90.00%
xdai6399,135,15,15,2085,90.00%,90.00%,90.00%,98.67%,87.11%,0.44%,87.56%,89.29%
yyua4245,133,17,17,2083,88.67%,88.67%,88.67%,98.49%,87.11%,0.44%,87.56%,87.86%
amor0285,132,18,18,2082,88.00%,88.00%,88.00%,98.40%,87.11%,0.44%,87.56%,87.14%
gtim7615,132,18,18,2082,88.00%,88.00%,88.00%,98.40%,87.11%,0.44%,87.56%,87.14%
pkum9303,132,18,18,2082,88.00%,88.00%,88.00%,98.40%,87.11%,0.44%,87.56%,87.14%
dram3878,131,19,19,2081,87.33%,87.33%,87.33%,98.31%,87.11%,0.44%,87.56%,86.43%
maza4291,131,19,19,2081,87.33%,87.33%,87.33%,98.31%,87.11%,0.44%,87.56%,86.43%
nvet1748,131,19,19,2081,87.33%,87.33%,87.33%,98.31%,87.11%,0.44%,87.56%,86.43%
afen9038,129,21,21,2079,86.00%,86.00%,86.00%,98.13%,87.11%,0.44%,87.56%,85.00%
jgas0041,129,21,21,2079,86.00%,86.00%,86.00%,98.13%,87.11%,0.44%,87.56%,85.00%
tjin0016,129,21,21,2079,86.00%,86.00%,86.00%,98.13%,87.11%,0.44%,87.56%,85.00%
gsin6656,128,22,22,2078,85.33%,85.33%,85.33%,98.04%,87.11%,0.44%,87.56%,84.29%
mroc9684,128,22,22,2078,85.33%,85.33%,85.33%,98.04%,87.11%,0.44%,87.56%,84.29%
bkir6587,127,23,23,2077,84.67%,84.67%,84.67%,97.96%,87.11%,0.44%,87.56%,83.57%
jloc8749,127,23,23,2077,84.67%,84.67%,84.67%,97.96%,87.11%,0.44%,87.56%,83.57%
xguo8788,127,23,23,2077,84.67%,84.67%,84.67%,97.96%,87.11%,0.44%,87.56%,83.57%
nmoo7852,126,24,24,2076,84.00%,84.00%,84.00%,97.87%,87.11%,0.44%,87.56%,82.86%
ckni9525,125,25,25,2075,83.33%,83.33%,83.33%,97.78%,87.11%,0.44%,87.56%,82.14%
imal6870,125,25,25,2075,83.33%,83.33%,83.33%,97.78%,87.11%,0.44%,87.56%,82.14%
yiye6312,125,25,25,2075,83.33%,83.33%,83.33%,97.78%,87.11%,0.44%,87.56%,82.14%
aari5136,124,26,26,2074,82.67%,82.67%,82.67%,97.69%,87.11%,0.44%,87.56%,81.43%
awon8465,124,26,26,2074,82.67%,82.67%,82.67%,97.69%,87.11%,0.44%,87.56%,81.43%
saxu2211,124,26,26,2074,82.67%,82.67%,82.67%,97.69%,87.11%,0.44%,87.56%,81.43%
yeli0406,124,26,26,2074,82.67%,82.67%,82.67%,97.69%,87.11%,0.44%,87.56%,81.43%
erhu2694,123,27,27,2073,82.00%,82.00%,82.00%,97.60%,87.11%,0.44%,87.56%,80.71%
dmar3720,122,28,28,2072,81.33%,81.33%,81.33%,97.51%,87.11%,0.44%,87.56%,80.00%
lshi4785,122,28,28,2072,81.33%,81.33%,81.33%,97.51%,87.11%,0.44%,87.56%,80.00%
agup7545,121,29,29,2071,80.67%,80.67%,80.67%,97.42%,87.11%,0.44%,87.56%,79.29%
gyua0818,121,29,29,2071,80.67%,80.67%,80.67%,97.42%,87.11%,0.44%,87.56%,79.29%
hche7818,120,30,30,2070,80.00%,80.00%,80.00%,97.33%,87.11%,0.44%,87.56%,78.57%
king7184,120,30,30,2070,80.00%,80.00%,80.00%,97.33%,87.11%,0.44%,87.56%,78.57%
sihe2302,120,30,30,2070,80.00%,80.00%,80.00%,97.33%,87.11%,0.44%,87.56%,78.57%
ygao7195,120,30,30,2070,80.00%,80.00%,80.00%,97.33%,87.11%,0.44%,87.56%,78.57%
gpan2286,119,31,31,2069,79.33%,79.33%,79.33%,97.24%,87.11%,0.44%,87.56%,77.86%
lche9329,119,31,31,2069,79.33%,79.33%,79.33%,97.24%,87.11%,0.44%,87.56%,77.86%
ggre5692,117,33,33,2067,78.00%,78.00%,78.00%,97.07%,87.11%,0.44%,87.56%,76.43%
bson2499,116,34,34,2066,77.33%,77.33%,77.33%,96.98%,87.11%,0.44%,87.56%,75.71%
jdon3970,116,34,34,2066,77.33%,77.33%,77.33%,96.98%,87.11%,0.44%,87.56%,75.71%
hwan1865,115,35,35,2065,76.67%,76.67%,76.67%,96.89%,87.11%,0.44%,87.56%,75.00%
lhen2020,110,40,40,2060,73.33%,73.33%,73.33%,96.44%,87.11%,0.44%,87.56%,71.43%
nliu5602,108,42,42,2058,72.00%,72.00%,72.00%,96.27%,87.11%,0.44%,87.56%,70.00%
csho9635,106,44,44,2056,70.67%,70.67%,70.67%,96.09%,87.11%,0.44%,87.56%,68.57%
hhus3747,105,45,45,2055,70.00%,70.00%,70.00%,96.00%,87.11%,0.44%,87.56%,67.86%
rgen8070,102,48,48,2052,68.00%,68.00%,68.00%,95.73%,87.11%,0.44%,87.56%,65.71%
awan5381,100,50,50,2050,66.67%,66.67%,66.67%,95.56%,87.11%,0.44%,87.56%,64.29%
sper3495,96,54,54,2046,64.00%,64.00%,64.00%,95.20%,87.11%,0.44%,87.56%,61.43%
xzha4635,96,54,54,2046,64.00%,64.00%,64.00%,95.20%,87.11%,0.44%,87.56%,61.43%
yguo3624,89,61,61,2039,59.33%,59.33%,59.33%,94.58%,87.11%,0.44%,87.56%,56.43%
Fleiss' Kappa:,68.15%,,,,,,,,,,,
